,latitude,longitude,bc,co,no2,o3,pm10,pm25,so2
419,40.787628,-74.6763,,,0.0,0.022,,,0.0
420,40.301899,-121.235001,,,,,,4.0,
421,34.615299,-80.198898,,,,0.037,,15.4,
422,53.244131,-1.454946,,,5.0,,13.0,10.0,
423,53.231722,-1.456944,,,17.0,,12.0,10.0,
424,41.13,-104.75,,,0.022,0.01,15.0,7.0,-0.001
425,30.7697,-88.0875,,,,-0.001,,15.9,0.001
426,39.76161,-121.84048,,0.14,0.002,0.031,10.0,10.0,
427,41.7547,-87.7136,,,,0.004,,4.6,
428,42.194401,-72.555603,,0.16,0.005,0.017,,,
429,51.149617,-1.438228,,,11.0,29.0,21.0,15.0,1.0
430,32.2953,-110.9822,,,,0.013,,4.0,
431,49.15611,-121.94056,,,,0.005,,,
432,41.0604,-81.9239,,,,0.021,,5.6,
433,32.009201,-109.389198,,,,0.025,,,
434,41.9136,-87.7239,,,,,,3.8,
435,41.755798,-87.545303,,,,0.01,,,
436,-22.342264,-68.650897,,,,,,,2.17
437,42.5047,-87.8111,,,,0.003,,0.0,
438,35.4778,-97.3022,,,,0.008,,,
439,45.5472,-73.7472,,,,0.008,,,
440,19.304501021455,97.971525255487,,0.36,,0.007,25.0,,
441,13.708041021603,100.54734529366,,0.43,0.01,0.015,33.0,,0.0
442,32.631229,-117.059074,,,,0.006,,,
443,-33.8938889,151.0452778,,0.0,0.0006,0.011,5.8,,0.126
444,41.855301,-87.752502,,,,0.001,,,
445,41.864329,-87.748826,,,,,,4.8,
446,39.146025,-84.538375,,0.5,0.023,,,,
447,-34.261909,-70.463219,,,,,,,0.0
448,30.224157,-81.502724,,,,0.044,,,
449,29.9933,-90.1014,,,,,,8.2,
450,12.9773472,77.5706972222222,,640.0,43.43,,28.79,,
451,28.6787,77.2262,,2330.0,97.29,,684.07,48.99,
452,39.800339,-75.21212,,,,0.014,,,
453,46.425598,-117.059799,,,,,,1.5,
454,32.353593,-97.436748,,,,0.024,,,
455,36.0261,-80.3419,,,,0.001,,18.4,
456,34.653301,-82.8386,,,,0.002,,,
457,28.525,-81.7231,,,,0.012,,,
458,33.7556,-90.7275,,,,0.008,,,
459,41.4409,-81.4949,,0.1,0.003,,,,
460,35.562801,-83.4981,,,,0.047,,,
461,29.7339,-95.2575,,,,0.0,,7.9,
462,29.7337263,-95.2575931,,0.1,0.0052,0.049,,,-0.0001
463,41.823101,-90.211899,,,,,,9.0,0.0
464,41.875,-90.177498,,,,0.008,,10.0,
465,36.819199,-119.7164,,,,0.03,,13.0,
466,32.3806,-111.1272,,,,0.004,,5.9,
467,33.8005,-78.9941,,,,0.0,,,
468,34.0026,-89.799,,,,0.051,,,
469,42.2806,-91.5269,,,,0.011,,,
470,47.808226,-117.34327,,,,,,2.3,
471,54.4138,-110.2331,,,,0.017,,1.0,
472,32.6336,-115.5042,,,,,,3.0,
473,-22.44283906304,-68.932546346863,,,,,87.82,30.85,
474,39.21494,-84.69086,,,,0.008,,7.4,0.0
475,39.1003,-120.9528,,,,0.019,,5.0,
476,-37.023623,-72.277476,,1007.14,0.09,9.6,9.42,,0.47
477,24.7489694,84.9438395,,1950.0,20.17,14.63,,179.0,13.07
478,26.2920639,73.0379111111111,,1950.0,89.74,5.63,103.7,54.21,7.75
479,26.0762,85.4115,,2940.0,89.35,4.11,,122.0,14.12
